Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,14722.500000,14736.799805,14642.599609,14689.000000,14689.000000,159504200
2016-10-04,14674.400391,14677.099609,14468.000000,14521.000000,14521.000000,248628900
2016-10-05,14582.000000,14640.400391,14581.200195,14610.599609,14610.599609,240783000
2016-10-06,14598.000000,14632.599609,14564.400391,14595.500000,14595.500000,222987900
2016-10-07,14606.299805,14627.000000,14496.200195,14566.299805,14566.299805,192554700
2016-10-11,14594.000000,14594.000000,14529.599609,14549.599609,14549.599609,183178100
2016-10-12,14544.299805,14634.900391,14529.099609,14619.000000,14619.000000,189874400
2016-10-13,14534.099609,14672.299805,14472.799805,14643.700195,14643.700195,212846400
2016-10-14,14681.099609,14726.500000,14585.000000,14585.000000,14585.000000,169896400
2016-10-17,14586.799805,14627.500000,14572.900391,14596.500000,14596.500000,140504400
2016-10-18,14671.700195,14777.400391,14654.200195,14752.299805,14752.299805,195092700
2016-10-19,14776.799805,14883.900391,14747.900391,14840.500000,14840.500000,212995700
2016-10-20,14819.500000,14872.700195,14794.500000,14847.900391,14847.900391,192647800
2016-10-21,14842.500000,14958.900391,14838.400391,14939.000000,14939.000000,178409000
2016-10-24,14962.400391,14963.599609,14881.299805,14923.000000,14923.000000,175545700
2016-10-25,14921.900391,14933.900391,14865.799805,14870.599609,14870.599609,202159600
2016-10-26,14828.200195,14873.500000,14781.200195,14807.599609,14807.599609,239045100
2016-10-27,14864.000000,14898.599609,14820.200195,14833.799805,14833.799805,204342200
2016-10-28,14812.099609,14872.799805,14773.099609,14785.299805,14785.299805,202493400
2016-10-31,14781.400391,14830.700195,14764.700195,14787.299805,14787.299805,187207800
2016-11-01,14827.900391,14850.299805,14711.200195,14778.299805,14778.299805,234198000
2016-11-02,14737.799805,14749.799805,14593.000000,14594.700195,14594.700195,243386400
2016-11-03,14613.799805,14669.599609,14556.700195,14583.400391,14583.400391,207046200
2016-11-04,14572.200195,14573.599609,14497.599609,14509.299805,14509.299805,212217800
2016-11-07,14596.200195,14664.099609,14594.599609,14652.500000,14652.500000,176604500
2016-11-08,14644.099609,14714.700195,14611.400391,14656.799805,14656.799805,210500000
2016-11-09,14637.900391,14807.099609,14631.700195,14759.900391,14759.900391,295775200
2016-11-10,14814.000000,14852.799805,14735.400391,14744.299805,14744.299805,314977300
2016-11-11,14722.200195,14728.599609,14481.599609,14555.400391,14555.400391,276187500
2016-11-14,14570.400391,14600.200195,14509.500000,14598.500000,14598.500000,289726600
2016-11-15,14637.400391,14767.799805,14618.299805,14756.099609,14756.099609,252401800
